subject,gender,age,sias,stai,rt_neutral_kongruent,rt_angry_kongruent,rt_neutral_inkongruent,rt_angry_inkongruent,accuracy_neutral_kongruent,accuracy_angry_kongruent,accuracy_neutral_inkongruent,accuracy_angry_inkongruent,antic_dist,antic_roiSwitches,cue_dwell_angry,cue_dwell_neutral,cue_lat_angry,cue_lat_neutral
15,female,24,1.95,2.95,0.5948356999984041,0.5489603620706308,0.6830087464269516,0.6871903760009446,0.9791666666666666,0.9375,0.96875,0.875,2343.0915113223623,0.99609375,0.898671875,0.8956510416666666,215.4765625,220.2265625
16,male,20,2.35,1.55,0.5922743444460341,0.5726216202155945,0.7089628838697418,0.6504775387152368,0.9791666666666666,1,0.96875,1,2206.066561266843,1.0234375,0.8559479166666667,0.8588020833333333,299.03125,318.71875
17,female,23,2.55,1.95,0.5507309090951987,0.5407913761333806,0.6040337999978463,0.5903720580615974,0.9791666666666666,1,1,1,1313.4469380629441,0.5078125,0.7521145833333334,0.7905989583333334,369.0703125,314.390625
18,female,23,1.7,1.7,0.5581075677774303,0.48828169782585895,0.654873040740818,0.6396278814812562,0.96875,0.9583333333333334,0.96875,0.9375,913.4855498064483,0.30859375,0.910859375,0.9012552083333333,252.0703125,252.4453125
19,female,23,1.6,1.6,0.702014691953918,0.6718399931038409,0.7391116275855517,0.7131548483880432,0.9479166666666666,0.9479166666666666,0.9375,0.96875,1899.837840967699,0.6484375,0.876765625,0.846953125,265.4765625,267.5703125
20,male,23,2.2,2.4,0.5735176472513998,0.554240691392327,0.6088642793033143,0.6170391612855207,1,0.9895833333333334,1,0.96875,746.7444177273594,0.1640625,0.8180729166666667,0.826171875,302.1171875,333.0546875
21,female,22,2.45,1.9,0.5552905306479172,0.585672716135084,0.652089399995748,0.6413292142928445,0.9027777777777778,0.9027777777777778,0.9166666666666666,0.9166666666666666,2565.8210256384637,1.5833333333333333,0.8800833333333333,0.8662777777777778,260.8645833333333,260.5625
22,male,25,1.45,2.3,0.6695974727256477,0.6221316728346131,0.6755983406146697,0.674597424129827,0.9895833333333334,1,1,0.96875,1394.0952529693513,0.34765625,0.819328125,0.79475,270.5,302.8984375
23,female,25,1.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,male,30,2.05,2,0.7869891022763279,0.7978918599992004,0.8360391035759156,0.8640561357148856,0.9791666666666666,0.9583333333333334,0.90625,0.875,2198.801314752704,1.17578125,0.8361875,0.8323125,281.5703125,273.953125
25,female,23,2.6,2,0.5099175477710863,0.5071423957011693,0.5325306107240196,0.5798652785680523,0.9895833333333334,0.9791666666666666,0.9375,0.96875,1490.6790200222786,0.71484375,0.8906145833333333,0.9049010416666666,207.265625,216.296875
26,female,22,1.75,1.95,0.606424453765935,0.603166570335596,0.6692629259347018,0.6756415187555831,1,0.9895833333333334,0.96875,1,2569.4349890590697,1.08984375,0.7544479166666667,0.7695729166666666,289.3359375,250.578125
27,female,23,1.55,1.95,0.5634508281030556,0.5790151767446227,0.6517288249851845,0.668180663336534,0.9583333333333334,0.9375,1,0.96875,2253.357982924639,1.51171875,0.9138958333333334,0.9182864583333333,213.3828125,221.78125
28,male,21,2.95,2.25,0.6122327227402077,0.5748343695683972,0.633558633341454,0.6021017437669798,0.9895833333333334,1,0.9375,1,NA,NA,NA,NA,NA,NA
29,female,26,2.9,2.15,0.5533967703238006,0.5691749933968901,0.5915815530970576,0.620972151605172,1,1,1,1,1441.1336599784065,0.421875,0.8464427083333333,0.83715625,338.0859375,328.375
30,female,24,1,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,female,24,1.85,1.5,0.6632801244565425,0.6682523615468948,0.6948183142896076,0.744744374089081,0.9895833333333334,0.9791666666666666,1,0.90625,1518.0640620047884,0.9140625,0.8679635416666667,0.9187604166666666,235.546875,205.4375
32,female,27,2.4,1.85,0.5898652840529549,0.6114029387007117,0.749919980746479,0.7065081766651322,0.9791666666666666,1,1,1,729.5310059695264,0.12890625,0.8531145833333333,0.882765625,379.734375,351.4921875
33,female,27,1.95,3.4,0.5506628799924834,0.5571269710879234,0.6244416241453767,0.6096036967881504,0.9583333333333334,0.9166666666666666,0.96875,1,NA,NA,NA,NA,NA,NA
